text,sentiment,Label
 Sooo SAD I will miss you here in San Diego!!!,negative,1
my boss is bullying me...,negative,1
 what interview! leave me alone,negative,1
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,1
2am feedings for the baby are fun when he is all smiles and coos,positive,0
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,0
I really really like the song Love Story by Taylor Swift,positive,0
My Sharpie is running DANGERously low on ink,negative,1
i want to go to music tonight but i lost my voice.,negative,1
"Uh oh, I am sunburned",negative,1
" S`ok, trying to plot alternatives as we speak *sigh*",negative,1
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,1
is back home now      gonna miss every one,negative,1
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,0
"the free fillin` app on my ipod is fun, im addicted",positive,0
  I`m sorry.,negative,1
On the way to Malaysia...no internet access to Twit,negative,1
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,0
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,1
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,0
i hope unni will make the audition . fighting dahye unni !,positive,0
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,1
 That`s very funny.  Cute kids.,positive,0
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,1
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,1
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,0
im an avid fan of **** magazine and i love your magazines,positive,0
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,0
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,1
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,1
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative,1
 it is ****...u have dissappointed me that past few days,negative,1
 romance zero is funny,positive,0
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,1
Aw. Torn ace of hearts  #Hunchback,negative,1
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,1
I give in to easily,negative,1
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,0
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,1
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,0
Chilliin,positive,0
 a celtics-lakers rematch sounds better don`t you think? lol,positive,0
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,1
I am sooo tired,negative,1
